trn_id,text,label
trn_15,I'm here almost daily. I love the staff always so helpful even encouraged me to branch out and try new teas.  I'm addicted to tea lattes and my latest is the cherry green tea vanilla latte iced.  There's plenty of space a great place for catching up with friends or studying.,1
trn_16,"I've been to this place twice now and I'm super indifferent. First I had the traditional gyro and the lemon oregano fries. Solid lunch on a Friday. I returned last week for a lamb special platter which included, 5-6 small strips of lamb (gyro), a side Greek salad, rice pilaf and warm pita bread. For a price tag of almost $12 I do not feel the portions are substantial for dinner, although the food is quite tasty and authentic. I will probably return as it is in my neighborhood but when I'm looking for a more hearty meal, I may drive a little further out for a similar cuisine.",0
trn_17,"Preface: I only eat sushi nigiri and sashimi and consider myself a sushi enthusiast (it is my favorite food). 

This was my third time eating at this restaurant. The first two times were great, and all of a sudden everything went to hell in a hand basket. 

Let me summarize:
1) I had to ask 3 times to get a miso soup (not a big deal on its own)
2) food took over 45 minutes to come out from the point of us placing the order (apparently because the unagi needed to be cooked...hey, next time bring everything else out first and then the unagi later like every other sushi place does. Maybe that way our sushi won't be room temperature and taste off.)
3) the maguro (tuna) sushi tasted old and overly fishy to the point where my coworker, who loves tuna, had to spit it out into his napkin. I unfortunately swallowed my piece of tuna and now I'm feeling ill writing this review.
4) our waiter did not remove the tuna from our bill even though it cost $7 and our entire bill was $218. He claimed he spoke with his Mgmt and they refused to remove it from the bill. I'm pretty sure that is a lie as almost any manager knows you SHOULD remove something off the bill if someone has to literally spit out into their napkin because it tastes disgusting.

What makes me ultimately write this review is that Maiko did not care about whether we enjoyed our meals and would ever come back. It was the 3rd time I had eaten there in a month, and I was a huge fan. But instead here I am feeling nauseous in bed from that ****ing tuna, writing my first ever negative review. 

Eat there with caution--it will either be great or you will literally leave angry and feeling ill.",-1
trn_18,"Come for the great dogs, stay for the conversation. Sidewalk socialite and local philanthropist, Vic will definitely put a smile on your face :).",1
trn_19,"We came here for the hot pot. The portions were enough to fill us up. It was cool how they had the self serve sauce concoction stands in the front. There drinks are pretty nice as well. The waiter, although overwhelmed, was still cordial.",0
trn_20,"Love this place, especially for happy hour. Can be a bit pricey outside happy hour but still great food (steaks). The servers are very attentive and friendly. Can get pretty loud and crowded on the weekend nights. Did I mention happy hour yet? Or breakfast? go for breakfast, ask to be seated with Teresa... she is awesome. Byron and James at the bar during the week for happy hour; can't go wrong. Did I mention their awesome happy hour yet? :)",1
trn_21,"Ninja bowl was delicious, basically teriyaki chicken over rice. Nice waitstaff. Would go back any day. Love it.",1
trn_22,"We Love Angela and her Lil Brown Sugar's Cupcake Café!  Our Dessert and Candy displays would not be complete without her rosette sugar cookies!  OMG!  They taste as good as they look.  And the cake pops!  Forget about it! Angela is the best! She will do whatever we ask of her like a Little Mermaid Birthday cake, so moist and delish!  Or chocolate mustaches on a stick, or mini pies on a stick!  She does it all!  Thank you so much, Angela!",1
trn_23,"My family and I love this restaurant in general, but we particularly love this central Scottsdale location. The new decor is really comfortable and gives a lot more ambience than the old model. We ate there this weekend for lobster fest, yay, but I was the only one who ordered something with lobster. My husband and son both ordered shrimp scampi (weirdos...it's Lobster Fest). Our waiter was friendly, got our drink orders and yummy hot biscuits out to us right away. It wasn't long that the piping hot shrimp scampi orders arrived at our table. I was promised mine would be out soon. I ordered the Bar Harbor Lobster Bake. A few minutes later the manager came by and apologized for my order not coming out when the guys meals came. She was a little horrified by it, I could tell. She mentioned that she never lets food to come out in stages like this! I could tell someone was going to get a ""what for"" any second. She was very, very sweet and as soon as my dinner was ready she brought it over herself and again apologized. She said she was so embarrassed it happened, and I really didn't even think anything of it until she mentioned it. She comp'ed my meal and it was the most expensive dish at our table! Of course we were super pleased by such service. Mistakes happen, and her acknowledging the mistake and apologizing is all I really needed, but it takes really great customer service to go that extra mile. Our waiter also apologized and overall, we were all very pleased with our meals...super yummy...and our service..overall, great!  We will be back again and again.",1
trn_24,"First time here tonight with friends and it was a good experience. For sushi rolls had the Mariachi Samurai, Lemon Roll & Secret Weapon. All 3 worth trying! The miso soup was good but maybe chunks of Tofu were too big. Bigger than any I've seen before in miso. For a starter the Stellar Chips were really good. Manager was really friendly. Turns out we had some friends in common. No complaints really. I will be back again.",1
trn_25,Mold on the tortilla                                                                                                                                      Make sure to check your food for rot.,-1
trn_26,"Small place. Good Chinese food. This place is easy to miss. Blink once and you may find yourself making a u-turn. Their house specialties are pretty good. Try to stay away from the traditional menu since all places make these dishes differently. I personally like the spicy shrimp with shell, porkchops Peking style, honey walnut shrimp and the spare ribs in black bean sauce. They have oxtail soup, which I shall definitely try on my next visit. this place is really small and is not for the intimacy freaks. The lunch specials are quite cheap but the entrees and specials can add up quick.",0
trn_27,My shits look bigger than their dinner plates. If you're looking somewhere to fill you up don't come here. Expensive & over priced for snack size meals.,-1
trn_28,Save yourself some time and frustration. The left hand has no idea what the right hand is doing. Horrible experience. Use a local Mortgage Company. I will never apply with this company again.,-1
trn_29,Love the sandwiches! Guys are always really helpful when ordering from work. First time ordering online and to my house.....we shall see! ugggg they no longer deliver! such a bummer!,1
trn_30,"First visit here. Ben took the time to explain everything and chat with us while we waited for our fresh cooked food. We ordered a few different items and loved them all. We will definitely be back, very soon I'm sure!",1
trn_31,"The bread, the ambiance and the bruschetta alone are worth visiting this quaint restaurant located on the waterfront.  Such a relaxing last lunch before heading home to Chicago.",1
trn_32,"Not impressed in general but it was OK.  I came here with a group of 6 girlfriends and thought immediately that the place had the feeling of a chain restaurant...the tables were too big (3 double tables were put together but could have easily fit 4 on each side) and the restaurant was just too big.  Size-wise I'd expect it of Joeys, Cactus, Earls, or the Cheesecake factory..but not really what i'm looking for in Italian.  

As for the food, it was average. I live in the UK and caesar salads aren't common here so I was looking forward to a traditional caesar.  I also asked for light dressing.  Way too much dressing and too much bacon - like actual full strips!  Way too big for an appetizer salad. Could have for sure been a full meal.  

Had a plain Margarhita pizza as my main. Not adventurous but to be honest I didn't feel it was the place to order a special pasta. Sort of like how I'd never order pasta at a chain...

Anyway maybe my expectations were just wrong.  I guess I expected a trendy small-ish Yorkville restaurant but instead it was huge with no character.  Pretty affordable but gladly would have paid more for a better atmosphere.",-1
trn_33,"RIPPED OFF. Our lunch here today was the worst dining experience we've had in Calgary. Our $15 chicken donburi bowl was literally white rice and three slices of chicken. Additionally the Bento Box we ordered had dry fish on the sushi and the edamame was soggy and brown (not crisp, green or fresh). The salmon teriyaki consisted of three quarter-sized pieces of fish. For a $30 meal it looked like $5 worth of ingredients. We raised our concerns about the value and were told by staff that ""we understand the portions are not fair, but we can't do anything about it."" What kind of customer service is that?? There was no attempt to offer us a discount or side item. Overall we felt extremely ripped off. Also, the quality was questionable - which is something you shouldn't be thinking about when eating raw fish! With so many other restaurant options in Calgary, we highly recommend going elsewhere. We will NEVER be returning.",-1
trn_34,Waited 20 minutes for a server to come over and give us water. The server finally came over after we asked 2 people for our server. After that she took our order on a newspaper that she grabbed off a stand because she didnt have her pad. She took out orders and the wrong food came out. Food was bland with little flavor. I do not recomment this place.,-1
trn_35,They did an excellent job pulling my loan together in such a short time. I enjoyed working with Michael and Adam. They made sure that they kept the process smooth and easy. Somehow they pulled things off without too many worries on my end.,1
trn_36,"I love Lavazza coffee, which is served here. Totally Italian style. The coffee is good, but, unfortunately,  the service is not so good.  The first day, I went to get a coffee, and ordered it, and paid for it. 10 minutes later, I found out its supposed to be free to hotel guests. I had charged it to my room, and showed my ID...she obviously knew she should have told me my coffee was free! The rest of our time here...we made sure not to be charged! 

The coffee is very good, and you can choose between mild or bold. It is served hot or cold...but, unfortunately,  our last coffee was supposed to be hot, but was only luke warm. There is plenty of seating to enjoy your coffee and it's conveniently located in the walkway between the Palazzo and the Venetian.",0
trn_37,"The food is good, but if you're in a hurry and want to order take-out, don't come here.  Even on nights when there is hardly any one in the place, the service is extremely slow.   The prices are too high for a take-out diner too.  The only saving grace is that if I order the ""large"" portion, I can get two meals out of it.",0
trn_38,"Quality sucks! Bought a necklace 2 days ago, and when I opened it, it  was broken!!!! Wtf? And I call to see if I can get a new one and they say no because it has been a couple of days...    I did not want my money back I just wanted a necklace that was not broken.   Horrible customer service.",-1
trn_39,"Update since new management took over on July, 22 2015-

Things have returned to normal.  It was a very rough 3 months for the residents during the transition.  That being said, the building is now cleaned every week, the free coffee/latte machine is working, packages are no longer left in the unsecured lobby, exercise equipment has been fixed etc.   LaKeycha, the Assistant Property Manager, may have had a lot to do with the positive changes.  

This is a great location, living above Earthfare is so convenient, the building is quiet.
Also, changes are coming to the units. Upgraded wood floors and appliances.",1
trn_40,"Nice property to stay with if you like to stay off of the Strip. (which is only about 1 1/2 to 2 miles away.  

Staff is nice and courteous.  Good maid service.

Rooms are kept clean and of course, include a kitchen, which is always nice to have. Full-sized refrigerator, microwave, 2 burner stove top, diswasher, garbage disposal. Great for extended stays. Complimentary breakfast (served 7 days) and light dinner fare served during the week. 

Very convenient to the McCarren Car Rental property which is approximately 1/4 to 1/2 mile away from the Homewood property. 

Beds and pillows are comfortable (though I still maintain that the Hilton Doubletree line has the best!).  

The only restaurant within walking distance would be the PanoVino.  You will need a car!",1
trn_41,"I've not taken a lot of time to find a solid Chinese restaurant here in Arizona.  My wife and I recently moved to Peoria and this establishment has popped up on my Yelp feed a few times.  We ordered take out because that's how Chinese food should be eaten. 

First, the entire Grand Ave. x Peoria Ave. exchange is just bizarre and really missed up.  Unfortunately, the restaurant sits kitty corner to Wendy's right on the corner. 

We walked in and the restaurant is very clean.  We were greeted instantly and handed take out menus.  I went with the Spicy Orange Chicken combo and my lovely bride went with the Sweet & Sour Chicken combo.  In less than 10 minutes, our food was produced to us fresh and piping hot. 

Next, we got a ton of food.  It's a solid combo guaranteed to put you in an Asian food coma.  For my Spicy Orange Chicken combo, my main entrée came with a scoop of fried rice, a solitary piece of fried shrimp, a few pieces of sweet & sour chicken and an egg roll.  That's a lot of food for $10 as far as I'm concerned.

I liked that the orange chicken was spicy as it should be and not caramelized in a candy coating of orange syrup.  The egg roll was delicious as was the piece of fried shrimp I was given.  The few pieces of sweet & sour chicken I was given was also quite tender and flavorful.  The only part of the combo I didn't care for was the fried rice.  That's all it was... fried rice in some shoyu.  No tiny morsels of pork or green onions or carrots or anything.  I love fried rice, but it was bland and sort of lackluster. 

It was still a good experience and they made a great first impression on me.  A solid 4-star contender, indeed!",1
trn_42,"Horrible service, would give 0 stars if possible. We tried to use a Groupon here and got yelled at because we didn't make a reservation and print the Groupon. The restaurant was totally empty (we were literally the only ones), and it's 2017 sorry I don't carry a printer around. Don't go here, many many better options to eat in Montreal.",-1
trn_43,Delicious wine! They have a very wide variety of wines from chardonnays to light summer wines to deep reds like Sangiovese and Cabs! One of my favorite places so far in the Phoenix area! Would definitely recommend if you are in the area. Great happy hour deals too! And the woman serving us was very knowledgeable and welcoming from the beginning-- we will definitely go back!,1
trn_44,"Rainbow Donuts is THE BEST. After a confusing mixup with finding a dessert for my wedding reception, the owner, Jason, said they would rush a batch of 20 dozen donuts! They also threw in a few dozen extra and made my wife and I two heart  shaped donuts with pink frosting. Not only are their donuts great, but their hospitality is incredible! They saved our reception and we can't thank them enough!",1
trn_45,We go for breakfast at least once per week.  The food and selection are excellent and the service is fast and courteous.  This is the best place for a home-cooked breakfast in the area!!,1
trn_46,"This is a good pizza place, the staff was attentive and knowledgeable in getting everything done, I've never been there before and received a coupon for a free pizza in the mail. So decided what the hell let's go. One thing I don't like is everything is all up-sell. A free pizza should mean free and not $18.00 at the end of the line for a basic pizza and a small salad. Other than that the pizza was great.",1
trn_47,We've done both take out and delivery from here.  Both have been good experiences. I think the piece that makes this place really stand out is the appetizers. Their dumplings are so good. They seem to be homemade and not the bulk frozen kind. I enjoy the crab rangoon also. Spring rolls and egg rolls are also very good. I am still working on finding a favorite main dish but the dumplings keep me coming back for more!,1
trn_48,"Great coffee, and they made me a great custom vegan sandwich!",1
trn_49,"One of my absolute favourite places to grab xiao long bao in the city!  It can get pretty busy at times, but the food is consistently delicious. Perfect for a meal with friends, brunch with the family, or simply to go for good old-fashioned Chinese comfort food. It's also my go-to place to order out when I have a cold; there's absolutely nothing better than a warm bowl of savoury soy milk soup for the heart and soul.

The Good: The restaurant itself is clean and modern with spacious seating. The food itself boasts amazing flavours that are both rich and comforting at the same time. My boyfriend and his family first took me here a few years ago, and I've been in love with xiao long bao ever since. The ones here are made fresh (there's even a little window at the back where you can see the chefs prepare them!), and are always bursting with soup and juice. Also really enjoy the savour soy milk soup here. My friend Lisa recently introduced me to the wontons in a spicy chili oil - they're delicious! Definitely try those, too, if you have room to spare. Even if you don't get the wontons in spicy chili oil, I'm a big fan of the spicy chili sauce that they have on each table here and love dousing my dumplings in them.

The Bad: Can get a little busy at times, but the wait never gets too long. Also, sometimes the seating can be a bit awkward just because of the size of the tables (i.e) a table of four often gets seated at a large, circular table for 6-8 people, etc.) Nothing too fussy, though!

The Ugly: How much I end up ordering and devouring when I get there. Definitely can't be good for my health, but #YOLO, no ""ragratz!"" ;) 

Bottom line: Amazing food at decent prices, with flavours that never fail to disappoint. Call me a fan. I'll definitely be back...multiple times.",1
trn_50,The Carne Asada tacos are as good as ever. I've done both dine and take out. Service has always been good. I enjoy sitting outside when the weather is good. The restaurant is comfortable and has a nice atmosphere.,1
trn_51,This place is definitely a hidden treasure in Chandler!!  The food was absolutely delicious. The waiter and chef went out of thier way to make the entire experience one to remember. One of our guests is allergic to soy and they were more than accommodating. The only reason I gave 4 stars instead of 5 we because I used a 2 for $19 Groupon and they scanned it first and then a friend happened to be in the area and joined us.  I told my friend about the Groupon but the waiter said they could only have one Groupon per table. I then aske if we could use the 4 for $60 Groupon. The waiter called the owner and said we could not. The waiter was honestly apologetic.  Had the owner been more accomadating I would have definitely given 5 stars.  The food and service was amazing!!!!,1
trn_52,"My favorite spot for lunch in downtown Pittsburgh. The food is delicious and inspired - not the generic sandwiches and sodas you get at a corner deli. I've had their soups, sandwiches, sides, desserts, and coffee. The breakfast menu looks amazing as well but I'm never downtown for breakfast so I can't say much about that.

The prices are a bit higher for a meal than, say, nearby Chipotle or Subway, but the quality of the food you get more than makes up for the difference in my opinion. I usually get a small soup and small side and that's enough for a satisfying lunch for me and comes out to be about $7-8. They have a core menu of items and also daily and monthly specials so there's always something new to try. One thing to keep in mind is that the sandwiches are made to order while the salads are pre-made that morning and in to-go boxes. 

Seating is limited to bar-style seating along the wall and windows, which works fine for me since I'm usually just looking to grab a quick lunch during the workday and not to have a long sit-down meal.

I hope Bluebird Kitchen never leaves downtown because there's really no other similar spot downtown like it.",1
trn_53,"As a rental tenant and having to deal with this company as a third party, my experience has been HORRIBLE. Called in on Monday to the property manager to report our AC was out. Was called the next day for the electrician to set up an appoinment, (why not an AC tech on the first trip, when that's the issue I called in...) The electrician who showed up in a van that said HVAC/Electrical/etc... told me that the AC unit was the problem and not the electrical....(I knew that). He said that an AC tech would have to come back the next day. Wednesday I was supposed to get a call and they never called. Thursday, NHW called and said a tech was on his way, so I left work, got home and the tech was rude, unprofessional and did not know what he was doing, he figured out that the compressor was bad and would need to be replaced. Friday they sent a tech in the morning to clean to the coils to verify if they could replace the unit under warranty, Friday afternoon, they sent ANOTHER AC tech that verified that the unit would need to be replaced and would be done by Saturday. NO calls TUESDAY and finally had the unprofessional come back and spend the entire day to replace the compressor.... If they would have sent the AC tech the first day, I could have had the problem fixed by Thursday or Friday and been happy. I spent $300 at Lowes to get a portable AC unit and left work on 3 separate occasions.... This company needs to get their SH!* together.... I know when I buy a home that I WON'T be using this company for anything....",-1
trn_54,"LV Photo was a wonderful company to work with!  They communicated well in advanced as to what our organization would be getting for our 2-day event.  The roaming photographers (Cameron was AMAZING) captured wonderful shots of participants and guests and those in attendance loved the keepsake that was given with the photo booth.

I would definitely use LV Photo again as well as recommend their services.",1
trn_55,"The only place we take our dog. Bring cash, they don't take cards.",1
trn_56,"This place is really great.   Please shop here.  This fine and creative bistro needs to stay in business.  You have no idea how much we miss the food in Paris.   We are so relieved to find this little find!!!

We had an array of foods on our afternoon pool break on a beautiful Sunday.   The duckbreast salad special was great.   Two other salads.   The mushroom quiche was good and the deserts were all yummy.  We had almost all - then took leftovers for our pool break this evening ;) 

See you soon!",1
trn_57,"Figé dans les années 60, j'adore ce type d'endroit où touristes et vieux alcolos habitués de la place se croisent. Le service est correct, les prix très raisonnable, avec un petit trash feel que j'aime.",0
trn_58,Visited 1-7-18. Went for brunch and loved loved it. Tried many different things. Food was brought out with a few selections at a time. Service was wonderful!,1
trn_59,"Highly recommended! 
I have been going to Cheri for waxing services for about 7 years now. She is the only person I trust for my waxing and she does a wonderful job. She is very professional and knows how to make me feel comfortable. She is knowledgeable about her profession and always looking for ways to improve.",1
trn_60,"Our family members attended this restaurant last night to celebrate several birthdays.  Haven't concluded yet the next morning what was worst, the food or the service.  Evening started out with an approximate wait of 30 minutes to receive my ordered cocktail.  Also of note, out of several of the featured on tap draft beers.  Waitress seemed to not have a clue.  Several times, some in our party came close to getting up to talk with a manager.  Entrees finally arrived with a mixed bag of results.  Walleye was noted as being very good while the Faroe Island Salmon entree was bland and tasteless.  Don't they have spices in the kitchen?  Granted this is a newer restaurant but it has been open now for almost 3 months.  Bottom line, save your self some $$$ and frustration and have dinner elsewhere until this place gets their collective act together and determines if they want to be a place for the bar crowd or a fine dining establishment.  Right now they succeed at neither.",-1
trn_61,"Excellent Service and Fresh Foods ! . Upon, reading the yelpers reviews hubby and I decided to try Cuisine Malaya . We had a wonderful server,  Ian,  he guided us through the delicious meal.  His suggestions were great !  


Excellent Place ! !
Delicious ! !",1
trn_62,"**Disclaimer** Did not dine here, but was looking forward to...

I made reservations back in October 2017 for New Years Eve dinner on OpenTable.  On 12/30/2017, at ~5pm, I received a phone call from the owner demanding my credit card information, in the event that we did not show, or cancelled last minute, that the restaurant would charge the card $50/person.  I told the owner that I would call him back to confirm (as I was not comfortable giving out this information in a public place), but he instead decided to cancel my reservation in OpenTable.  

While I don't disagree with a deposit policy for NYE dinner at a restaurant, I didn't think the way by which this owner decided to go about it was appropriate.  He sounded extremely perturbed by other customers calling and canceling last minute, and made reference to that in the call.  Very rude and condescending tone on the phone as well.

I am happy the reservation was cancelled, as it would have been bothersome to know I spent money on an establishment that treats potential customers in that manner.",-1
trn_63,"Ever so often you get a airport restaurant that takes time to help the veggie eaters.

Whiskey river has an amazing Chipotle burger with the option of a veggie Patty and barbecue fries.

Awesome combination.

Yolanda was the server and Cathy the host ! Both were great !! 

Will surely drop in next time I'm flying by CLT ヽ(_)ノ",1
trn_64,"Very nice mall at present.  Well laid out and plenty of selection.  Features a Macy's, JC Penney, Sears and Dillards as the major stores.  Has quite a few boutiques, from Body Central and Charlotte Rousse, to Abercrombie & Fitch (Yech!) and the Gap.  6 or 7 jewelry stores, probably the same # of shoe stores.  Old Navy, Victoria's Secret, Frederick's, Hallmark, Hobby Bench, As Seen on TV, many others.  The food court has a nice selection, as well as a Ruby Tuesday's for slightly more upscale fare.",1
trn_65,"Great happy hour, Good service, Awesome food! If you're on mill and craving Mexican there is no reason you shouldn't stop in you will enjoy.",1
trn_66,"I don't usually go for fish and chips in Toronto since most places have thick batters but this place is amazing. Fish were amazing, fresh, cooked perfectly and batter was perfect! My friend and I had halibut and haddock and I highly recommend them both. Also, service there were very good, waitresses there were very friendly. I would say their fish and chips are the best in canada! Would absolutely go there again and recommend to friends and family.  Lastly, the fries were extordinary and store is very spacious/clean!!",1
trn_67,"Its a MUST if your on the strip! 

Its awesome to see. me and the hubby always come to watch everytime we are in vegas...If you can check out the show from the eiffel tower! ITS AWESOME at night! and you can get some beautiful pictures. 

By the way....the show ends at midnight...We learned this the hard way...We stood there from 2am to 330am waiting for the show...lol...what dumb asses...but hey believe it or not we were not the only ones waiting..lol....they should seriously consider posting a sign somewhere...lol...",1
trn_68,Great atmosphere and a staff second to none! Daritza was very pleasant to work with and professional.,1
trn_69,"I LOVE, LOVE, LOVE this place!!!

Ever since I discovered Oregano's I've never been back to Olive Garden. I think their food is fantastic and I've learned to try other things aside from their meatballs...ummm! Service is always, always, always fantastic! The servers are so helpful and friendly. I have nothing bad to say about this place. If you do come here...be sure to explore the menu.

One bad thing, but I can't knock a star off for it, is that the wait can be extremely long especially during lunch hours. I've waited an hour before and at other times, I've gotten lucky to get the last table available. 

Check out the pictures!",1
trn_70,"Great food and service! This is our go to place for our anniversary and other special occasions. We've never had a bad meal and the service is great! Great daily happy hour deals in the bar area! We like the shrimp cocktail, calamari, filet medallions, and other small plates. Their meat is always cooked perfect and is very flavorful. Nice selection of spirits and wine. I like your dining rewards program too! Great service with TJ and the managers are always walking around checking in on your meal. Top notch!",1
trn_71,"Everything is good. Fois gras accompanied by wine, yummy satay and spring rolls. Don't leave this place w/out ordering their famous dungeoness crab and garlic noodles. A must.",1
trn_72,"I stumbled upon Cinquieme Peche last night with a friend.  As we were strolling in the Mont Royal neighborhood, it started pouring heavily.  We ran into the first place that looked reasonable, mostly to avoid the rain.  Our lack of planning, as it turns out, paid off.  Cinquieme Peche is a small, highly imaginative French brasserie serving a limited amount of starters and entrees off a chalkboard menu.  For our starters, we had the seal (yes, the kind that clap and do tricks) tartare and a lobster broth with scallops, mussels and pancetta.  The tartare was interesting, the meat itself is fairly bland but the texture was pleasant and went well with the capers.  My lobster broth was subtle but pleasant.  As for the mains, I had the filet served with broccoli rabe, escargot and gnochi.  An unexpected combination but was perfect.  My friend had the sea breem, seared on a pan and finished off in the oven.  It was served with artichoke puree and roasted fennel and a light tomato sauce.  Outstanding.  The owners, two brothers, are from France and have been operating this restaurant  for 7 years now.  Although it is expensive, I would highly recommend it.",1
